Salary,Uses_AI,Years_Exp,Job_Satisfaction,Is_Remote,TimeSearching
82000,1,2,7,0,60-120 minutes a day
30074,0,6,8,0,30-60 minutes a day
69814,1,11,10,0,15-30 minutes a day
66769,1,30,7,1,30-60 minutes a day
91295,1,6,10,1,Less than 15 minutes a day
75184,0,13,5,0,15-30 minutes a day
123578,0,15,9,1,15-30 minutes a day
130847,1,22,7,0,60-120 minutes a day
54000,1,14,2,1,15-30 minutes a day
1,1,22,7,1,30-60 minutes a day
200000,0,26,9,1,15-30 minutes a day
25777,1,5,8,1,60-120 minutes a day
161044,1,18,7,0,Less than 15 minutes a day
175000,0,17,10,1,15-30 minutes a day
11848,1,2,2,0,30-60 minutes a day
121018,1,25,10,1,30-60 minutes a day
72000,0,40,5,1,30-60 minutes a day
195000,0,30,5,1,15-30 minutes a day
92492,1,1,8,1,Less than 15 minutes a day
51555,0,12,2,0,15-30 minutes a day
37434,0,20,9,0,Less than 15 minutes a day
44586,0,20,8,1,60-120 minutes a day
42962,0,6,4,0,Over 120 minutes a day
64444,0,25,5,0,Less than 15 minutes a day
67666,1,4,6,0,30-60 minutes a day
180000,1,0.5,6,0,30-60 minutes a day
45000,1,19,10,1,15-30 minutes a day
57999,1,50,10,0,Less than 15 minutes a day
43278,1,11,8,1,30-60 minutes a day
184712,0,27,8,1,60-120 minutes a day
29000,0,1,10,0,15-30 minutes a day
71090,0,9,7,0,15-30 minutes a day
61222,1,8,7,0,30-60 minutes a day
85925,0,30,7,1,15-30 minutes a day
124840,1,15,7,1,15-30 minutes a day
230000,1,11,8,1,30-60 minutes a day
72693,1,18,7,0,Less than 15 minutes a day
85000,0,23,8,0,Less than 15 minutes a day
160000,0,18,7,1,15-30 minutes a day
210000,1,17,7,1,15-30 minutes a day
46185,1,7,7,1,15-30 minutes a day
2400,1,2,7,1,30-60 minutes a day
52992,0,10,6,0,30-60 minutes a day
110000,1,23,6,1,15-30 minutes a day
152865,1,25,1,0,15-30 minutes a day
190000,0,18,7,0,60-120 minutes a day
161783,1,17,8,1,60-120 minutes a day
12773,1,1,5,0,30-60 minutes a day
69814,1,10,6,0,15-30 minutes a day
115000,0,10,6,0,Over 120 minutes a day
71337,0,12,7,0,Over 120 minutes a day
70063,0,39,8,0,30-60 minutes a day
57999,0,22,7,0,60-120 minutes a day
300000,0,18,1,0,15-30 minutes a day
39960,1,11,8,0,15-30 minutes a day
52122,0,11,3,0,30-60 minutes a day
54777,1,8,2,0,15-30 minutes a day
254425,1,24,7,0,30-60 minutes a day
91213,0,40,5,1,Less than 15 minutes a day
98223,0,4,6,0,60-120 minutes a day
130358,0,20,8,0,30-60 minutes a day
37297,1,12,5,1,15-30 minutes a day
85925,1,11,6,0,30-60 minutes a day
140000,0,26,8,1,15-30 minutes a day
65799,1,25,10,1,15-30 minutes a day
213840,1,9,4,0,60-120 minutes a day
72673,0,2,7,0,Over 120 minutes a day
200000,0,40,8,1,60-120 minutes a day
15359,1,5,7,0,15-30 minutes a day
102667,0,15,8,1,Less than 15 minutes a day
24224,1,3,9,1,30-60 minutes a day
148,1,0.5,7,0,30-60 minutes a day
93000,1,4,8,1,30-60 minutes a day
79617,0,3,9,0,30-60 minutes a day
67227,0,14,8,1,30-60 minutes a day
144998,1,10,9,0,30-60 minutes a day
119943,1,17,6,0,30-60 minutes a day
47854,0,17,7,1,Less than 15 minutes a day
59317,0,25,5,1,60-120 minutes a day
64968,0,13,7,0,30-60 minutes a day
100000,1,9,7,0,30-60 minutes a day
14142,1,7,5,0,30-60 minutes a day
102000,1,22,0,1,30-60 minutes a day
123654,0,15,8,1,30-60 minutes a day
650,1,1,9,1,Over 120 minutes a day
145000,1,23,8,1,60-120 minutes a day
29893,1,2,6,0,30-60 minutes a day
170000,0,11,7,1,30-60 minutes a day
150000,1,13,8,0,15-30 minutes a day
48333,1,28,7,0,15-30 minutes a day
93591,1,10,7,0,60-120 minutes a day
167125,1,44,9,0,60-120 minutes a day
161000,0,30,5,1,15-30 minutes a day
30666,0,9,3,1,30-60 minutes a day
79218,1,13,7,0,Over 120 minutes a day
175000,1,20,9,0,30-60 minutes a day
650000,0,10,6,0,15-30 minutes a day
85925,0,16,8,0,15-30 minutes a day
170000,0,9,8,1,15-30 minutes a day
190000,1,9,2,1,30-60 minutes a day
69814,1,27,8,0,30-60 minutes a day
31200,0,10,8,1,15-30 minutes a day
130000,0,25,8,1,15-30 minutes a day
7776,1,1,6,0,30-60 minutes a day
90221,0,10,6,0,30-60 minutes a day
3618,1,0.5,2,0,60-120 minutes a day
150000,1,13,8,0,30-60 minutes a day
400000,0,19,8,1,30-60 minutes a day
107406,1,1,9,0,30-60 minutes a day
13160,1,4,8,1,15-30 minutes a day
160000,0,9,6,1,30-60 minutes a day
26320,0,2,3,0,Over 120 minutes a day
2411,1,13,4,1,15-30 minutes a day
50340,0,17,6,1,30-60 minutes a day
52216,1,13,9,1,30-60 minutes a day
29621,1,20,2,1,30-60 minutes a day
180000,1,7,4,1,30-60 minutes a day
49681,0,3,7,0,60-120 minutes a day
100000,1,9,8,0,Less than 15 minutes a day
83000,0,14,9,0,30-60 minutes a day
100000,1,15,7,1,30-60 minutes a day
220000,0,22,6,1,30-60 minutes a day
494,1,2,9,1,60-120 minutes a day
220000,1,13,8,1,60-120 minutes a day
250000,1,22,8,1,15-30 minutes a day
218079,1,12,9,1,30-60 minutes a day
140000,1,35,10,1,Less than 15 minutes a day
28712,0,9,8,0,Less than 15 minutes a day
117000,1,3,9,0,15-30 minutes a day
75159,0,10,8,0,60-120 minutes a day
150000,0,25,8,0,30-60 minutes a day
36701,1,10,9,0,30-60 minutes a day
104458,1,9,8,1,Less than 15 minutes a day
75000,0,10,8,0,60-120 minutes a day
65000,1,5,9,1,30-60 minutes a day
39740,0,10,7,0,Less than 15 minutes a day
100000,1,15,8,1,30-60 minutes a day
47259,0,7,2,1,60-120 minutes a day
150000,1,31,9,1,15-30 minutes a day
46658,0,12,6,0,30-60 minutes a day
96666,1,12,2,1,Over 120 minutes a day
150000,0,10,6,0,30-60 minutes a day
270000,1,20,10,0,15-30 minutes a day
432000,1,7,8,0,Less than 15 minutes a day
1740,0,8,5,1,30-60 minutes a day
152865,0,41,8,0,15-30 minutes a day
3021,1,2,10,1,Less than 15 minutes a day
29000,0,25,6,1,Less than 15 minutes a day
163,0,2,9,1,60-120 minutes a day
67516,1,10,9,0,15-30 minutes a day
64444,0,36,9,0,Less than 15 minutes a day
185000,1,20,5,1,60-120 minutes a day
85925,0,10,8,1,Less than 15 minutes a day
91295,0,11,6,1,15-30 minutes a day
67666,1,12,2,0,Less than 15 minutes a day
178343,0,11,6,1,60-120 minutes a day
63370,1,6,7,0,30-60 minutes a day
85350,0,14,4,1,60-120 minutes a day
120000,0,3,9,0,Less than 15 minutes a day
97740,1,20,7,1,15-30 minutes a day
77297,0,25,7,0,15-30 minutes a day
205000,1,7,7,1,60-120 minutes a day
11472,0,2,6,0,30-60 minutes a day
93980,1,11,6,1,15-30 minutes a day
5370,1,5,9,1,30-60 minutes a day
128129,1,6,9,0,30-60 minutes a day
44037,0,12,9,0,30-60 minutes a day
101000,1,1,8,0,15-30 minutes a day
300000,1,24,9,1,30-60 minutes a day
89147,0,14,6,0,30-60 minutes a day
79218,1,37,6,1,60-120 minutes a day
11,1,28,7,1,30-60 minutes a day
77332,0,30,3,0,30-60 minutes a day
57907,1,24,9,0,15-30 minutes a day
90221,1,10,5,0,Over 120 minutes a day
86999,0,10,10,1,15-30 minutes a day
161109,0,18,3,1,30-60 minutes a day
190000,1,17,0,1,Over 120 minutes a day
36000,0,5,6,1,30-60 minutes a day
31847,1,0.5,10,0,30-60 minutes a day
37592,0,30,8,0,15-30 minutes a day
53703,0,30,8,0,30-60 minutes a day
1407,1,15,8,1,30-60 minutes a day
150369,1,11,7,0,30-60 minutes a day
10955,0,1,9,0,30-60 minutes a day
32222,1,24,2,1,Over 120 minutes a day
35806,1,0.5,10,0,15-30 minutes a day
47854,1,11,10,1,Less than 15 minutes a day
240000,1,6,6,0,30-60 minutes a day
6689,0,21,10,0,60-120 minutes a day
118000,0,5,7,0,30-60 minutes a day
150000,0,20,2,0,30-60 minutes a day
87250,1,2,9,0,30-60 minutes a day
78508,1,3,3,1,15-30 minutes a day
55851,1,5,5,0,15-30 minutes a day
42962,1,22,8,1,15-30 minutes a day
56925,0,6,7,0,15-30 minutes a day
91295,1,8,7,0,30-60 minutes a day
56022,0,18,9,1,15-30 minutes a day
114000,0,4,9,0,15-30 minutes a day
124000,1,10,9,0,15-30 minutes a day
10070,1,4,2,0,30-60 minutes a day
91295,1,11,8,1,30-60 minutes a day
120000,0,40,9,1,30-60 minutes a day
44037,1,1,8,0,60-120 minutes a day
85925,1,7,8,0,Over 120 minutes a day
76433,1,3,5,0,15-30 minutes a day
6230,1,26,8,0,15-30 minutes a day
4937,1,2,9,1,Over 120 minutes a day
45212,1,1,7,0,30-60 minutes a day
139628,1,17,2,1,15-30 minutes a day
205000,0,10,3,1,60-120 minutes a day
50915,0,7,8,0,30-60 minutes a day
64968,0,18,8,1,Less than 15 minutes a day
69814,1,6,7,1,Over 120 minutes a day
49681,0,18,7,0,15-30 minutes a day
32222,0,13,8,0,15-30 minutes a day
257000,0,5,8,0,30-60 minutes a day
163000,1,13,7,1,Less than 15 minutes a day
10217,1,6,8,0,30-60 minutes a day
70584,1,9,9,0,15-30 minutes a day
200000,1,15,8,1,Less than 15 minutes a day
41214,0,25,5,0,60-120 minutes a day
74239,1,12,8,0,60-120 minutes a day
66592,0,5,8,0,15-30 minutes a day
120000,1,10,2,1,Over 120 minutes a day
27926,0,10,8,0,30-60 minutes a day
105000,0,7,9,1,30-60 minutes a day
49233,1,38,8,1,30-60 minutes a day
43435,1,18,2,0,60-120 minutes a day
190000,0,3,8,0,30-60 minutes a day
48000,1,6,7,1,Less than 15 minutes a day
70000,0,12,5,0,30-60 minutes a day
150000,0,25,6,0,15-30 minutes a day
127388,1,13,8,1,15-30 minutes a day
53703,1,31,8,0,30-60 minutes a day
91295,1,12,9,0,30-60 minutes a day
162000,1,3,6,1,60-120 minutes a day
122124,0,15,9,1,30-60 minutes a day
80555,1,14,7,1,30-60 minutes a day
149746,0,10,8,0,Less than 15 minutes a day
402000,1,26,8,0,30-60 minutes a day
150000,0,6,6,1,Over 120 minutes a day
116989,1,6,8,0,Over 120 minutes a day
80555,1,14,1,1,30-60 minutes a day
175000,0,17,2,1,Over 120 minutes a day
68535,0,14,2,0,15-30 minutes a day
120000,1,2,8,0,60-120 minutes a day
114649,0,11,8,1,30-60 minutes a day
192000,1,15,2,0,30-60 minutes a day
33121,1,0.5,8,0,30-60 minutes a day
900000,0,27,10,0,30-60 minutes a day
128887,1,11,8,0,15-30 minutes a day
84851,0,27,7,1,30-60 minutes a day
87231,1,20,0,1,15-30 minutes a day
93047,0,12,10,0,Over 120 minutes a day
64762,1,4,8,0,30-60 minutes a day
78621,1,7,10,0,30-60 minutes a day
64444,0,4,9,0,60-120 minutes a day
85925,1,8,9,0,30-60 minutes a day
84076,1,10,6,1,15-30 minutes a day
83777,1,15,6,0,30-60 minutes a day
72000,1,17,8,1,15-30 minutes a day
140000,1,10,6,1,15-30 minutes a day
35032,0,2,7,0,Over 120 minutes a day
150000,1,3,7,0,Over 120 minutes a day
123578,1,12,6,1,15-30 minutes a day
15600,1,5,5,1,15-30 minutes a day
46185,1,8,5,0,15-30 minutes a day
63694,1,23,4,0,30-60 minutes a day
73885,1,3,6,0,Less than 15 minutes a day
1037,0,12,0,0,15-30 minutes a day
145000,0,25,6,0,30-60 minutes a day
92000,1,2,7,0,60-120 minutes a day
80254,0,32,8,1,15-30 minutes a day
27516,0,12,8,1,Less than 15 minutes a day
118106,0,28,10,0,Less than 15 minutes a day
200000,1,11,7,0,Less than 15 minutes a day
53703,1,8,7,0,15-30 minutes a day
32222,1,18,6,0,30-60 minutes a day
110000,0,4,0,1,30-60 minutes a day
72600,0,10,3,0,30-60 minutes a day
1333,0,38,9,0,Less than 15 minutes a day
161109,0,9,5,1,Less than 15 minutes a day
215000,1,10,10,1,60-120 minutes a day
41872,1,4,9,0,15-30 minutes a day
39133,1,13,6,1,Less than 15 minutes a day
3040,1,10,8,0,30-60 minutes a day
1000000,1,15,8,0,60-120 minutes a day
195000,0,10,3,1,15-30 minutes a day
165000,0,38,10,0,15-30 minutes a day
37736,0,20,7,1,30-60 minutes a day
12921,0,5,5,0,30-60 minutes a day
70063,0,2,9,0,Over 120 minutes a day
127000,0,10,8,0,60-120 minutes a day
98000,1,2,7,1,30-60 minutes a day
90000,0,0.5,6,0,15-30 minutes a day
53703,1,24,10,0,15-30 minutes a day
95274,1,25,6,1,Less than 15 minutes a day
175000,1,8,9,1,15-30 minutes a day
159000,1,6,10,0,30-60 minutes a day
155000,0,14,7,1,30-60 minutes a day
127388,0,7,7,0,15-30 minutes a day
211000,0,12,9,1,15-30 minutes a day
119000,1,23,9,1,15-30 minutes a day
34447,1,2,9,0,60-120 minutes a day
57230,0,1,6,0,60-120 minutes a day
15536,1,3,8,0,60-120 minutes a day
327118,1,18,9,0,Less than 15 minutes a day
257695,1,9,4,1,60-120 minutes a day
71962,0,24,8,0,15-30 minutes a day
54777,0,22,6,0,Less than 15 minutes a day
100381,1,8,8,0,30-60 minutes a day
80555,1,25,7,0,15-30 minutes a day
57230,1,8,6,0,30-60 minutes a day
170000,1,27,6,0,30-60 minutes a day
89134,1,10,8,0,15-30 minutes a day
413,0,25,8,1,Less than 15 minutes a day
190000,1,21,7,1,Less than 15 minutes a day
1777,0,8,10,0,15-30 minutes a day
38604,1,4,3,1,60-120 minutes a day
120000,0,6,8,0,30-60 minutes a day
112101,0,11,8,1,15-30 minutes a day
59126,1,25,6,0,Less than 15 minutes a day
85000,1,3,7,0,30-60 minutes a day
150000,0,7,8,1,60-120 minutes a day
34609,0,3,6,1,30-60 minutes a day
1600,1,15,10,0,15-30 minutes a day
67476,0,2,8,0,60-120 minutes a day
16577,1,2,7,0,15-30 minutes a day
10000,1,4,10,1,15-30 minutes a day
1500,1,2,7,1,Over 120 minutes a day
82703,0,46,8,0,15-30 minutes a day
1889,1,1,5,0,60-120 minutes a day
45655,1,7,6,1,15-30 minutes a day
19333,1,2,7,0,30-60 minutes a day
174000,1,25,8,1,15-30 minutes a day
500000,0,10,7,0,30-60 minutes a day
26852,1,10,8,0,30-60 minutes a day
250,0,8,7,0,30-60 minutes a day
119000,0,12,9,0,30-60 minutes a day
183493,1,24,7,0,Less than 15 minutes a day
33613,1,5,4,0,60-120 minutes a day
33296,1,15,4,0,30-60 minutes a day
80000,1,30,5,0,Less than 15 minutes a day
220000,1,18,6,1,Over 120 minutes a day
100000,0,30,10,1,Less than 15 minutes a day
51555,0,7,2,1,30-60 minutes a day
19333,1,3,2,0,Over 120 minutes a day
170000,0,9,9,1,30-60 minutes a day
148600,0,24,6,1,30-60 minutes a day
97831,0,1,2,0,15-30 minutes a day
126000,1,8,3,0,30-60 minutes a day
80000,0,7,6,0,30-60 minutes a day
23454,1,9,8,0,30-60 minutes a day
8614,1,5,5,0,15-30 minutes a day
85925,0,0.5,6,0,Over 120 minutes a day
83777,1,15,10,0,15-30 minutes a day
129602,0,17,3,0,30-60 minutes a day
93642,0,23,8,0,60-120 minutes a day
66162,1,7,6,0,60-120 minutes a day
53703,1,18,9,0,30-60 minutes a day
66826,0,11,1,0,30-60 minutes a day
250000,0,10,6,0,15-30 minutes a day
3465,0,9,8,0,15-30 minutes a day
75159,0,5,7,0,30-60 minutes a day
69814,1,7,7,0,30-60 minutes a day
90000,1,20,5,1,15-30 minutes a day
130000,0,7,8,1,60-120 minutes a day
44586,1,2,4,0,60-120 minutes a day
250000,0,10,10,1,60-120 minutes a day
91809,0,10,8,1,60-120 minutes a day
69814,1,1,7,1,Less than 15 minutes a day
155000,1,7,6,1,60-120 minutes a day
2468,0,14,6,0,15-30 minutes a day
122559,1,8,8,0,30-60 minutes a day
184000,1,22,8,1,30-60 minutes a day
87429,1,23,7,0,30-60 minutes a day
107406,0,9,7,0,15-30 minutes a day
150000,1,5,8,1,60-120 minutes a day
98000,1,8,7,1,15-30 minutes a day
130000,1,28,9,1,30-60 minutes a day
101910,1,7,8,1,30-60 minutes a day
79481,1,12,0,1,60-120 minutes a day
17945,1,2,7,0,30-60 minutes a day
82802,0,8,9,0,60-120 minutes a day
4843,1,6,7,1,30-60 minutes a day
63600,1,6,8,1,15-30 minutes a day
75544,1,17,6,0,15-30 minutes a day
75000,1,15,8,0,30-60 minutes a day
63694,0,6,8,0,30-60 minutes a day
80000,0,8,1,0,30-60 minutes a day
4937,0,0.5,9,1,15-30 minutes a day
82384,1,19,6,0,15-30 minutes a day
130000,0,19,8,1,Less than 15 minutes a day
132612,1,23,8,1,30-60 minutes a day
4068,1,15,7,1,30-60 minutes a day
47059,0,5,7,1,30-60 minutes a day
25532,1,8,7,1,15-30 minutes a day
15876,0,20,7,1,Less than 15 minutes a day
73000,1,3,6,0,Less than 15 minutes a day
28458,1,3,6,1,30-60 minutes a day
110000,0,34,9,0,15-30 minutes a day
27000,0,4,10,0,Less than 15 minutes a day
26891,0,32,10,1,15-30 minutes a day
199000,0,7,3,1,15-30 minutes a day
64444,0,26,5,0,60-120 minutes a day
160000,1,5,6,0,30-60 minutes a day
43356,0,8,7,1,15-30 minutes a day
145386,1,12,8,0,60-120 minutes a day
3589,0,29,9,1,30-60 minutes a day
250000,0,12,8,0,60-120 minutes a day
114000,1,20,9,0,30-60 minutes a day
238460,0,14,9,1,30-60 minutes a day
40764,0,11,7,0,30-60 minutes a day
4250,1,7,7,1,Less than 15 minutes a day
96937,0,21,8,1,30-60 minutes a day
48333,1,16,7,0,15-30 minutes a day
37026,1,3,10,1,15-30 minutes a day
70888,1,7,7,1,60-120 minutes a day
