Job_Satisfaction,Uses_AI,Salary,TimeSearching_Min,Years_Exp,Is_Remote
8,1,128887,NA,11,0
7,0,84851,NA,27,1
0,1,87231,NA,20,1
9,0,93047,NA,12,0
9,1,64762,NA,4,0
10,1,78621,NA,7,0
9,0,64444,NA,4,0
9,1,85925,NA,8,0
6,1,84076,NA,10,1
6,1,83777,NA,15,0
8,1,72000,NA,17,1
6,1,200000,NA,8,1
7,0,35032,NA,2,0
7,1,150000,NA,3,0
6,1,123578,NA,12,1
2,1,15600,NA,5,1
5,1,46185,NA,8,0
7,1,63694,NA,23,0
7,1,73885,NA,3,0
0,0,94319,NA,12,0
7,0,145000,NA,25,0
7,1,92000,NA,2,0
8,0,80254,NA,32,1
5,0,90000,NA,12,1
10,0,118106,NA,28,0
8,1,200000,NA,11,0
7,1,152865,NA,8,0
6,1,32222,NA,18,0
0,0,110000,NA,4,1
7,0,72600,NA,10,0
9,0,107406,NA,38,0
5,0,161109,NA,9,1
10,1,215000,NA,10,1
9,1,41872,NA,4,0
6,1,138580,NA,13,1
8,1,3040,NA,10,0
8,1,1000000,NA,15,0
3,0,195000,NA,10,1
10,0,165000,NA,38,0
6,0,70000,NA,20,1
5,0,12921,NA,5,0
7,0,4546,NA,2,0
7,0,127000,NA,10,0
7,1,98000,NA,2,1
8,0,90000,NA,0.5,0
10,1,53703,NA,24,0
6,1,150000,NA,25,1
9,1,175000,NA,8,1
10,1,159000,NA,6,0
7,0,155000,NA,14,1
7,0,127388,NA,7,0
8,0,211000,NA,12,1
7,1,190000,NA,23,1
3,1,10767,NA,2,0
9,0,45860,NA,1,0
8,1,15536,NA,3,0
9,1,327118,NA,18,0
4,1,257695,NA,9,1
8,0,71962,NA,24,0
6,0,54777,NA,22,0
8,1,100381,NA,8,0
7,1,80555,NA,25,0
4,1,116988,NA,8,0
6,1,170000,NA,27,0
7,1,89134,NA,10,0
8,0,413,NA,25,1
7,1,190000,NA,21,1
10,0,222929,NA,8,0
3,1,38604,NA,4,1
8,0,120000,NA,6,0
